Year,BEV,PHEV,Region
2019,0.6,0.2,Austria
2019,0.3,0.7,Belgium
2019,0.0,0.0,Bulgaria
2019,0.0,0.0,Croatia
2019,0.0,0.0,Cyprus
2019,0.0,0.0,Czech Rep.
2019,0.6,0.4,Denmark
2019,0.2,,Estonia
2019,0.2,0.2,European Union
2019,0.2,0.9,Finland
2019,0.4,0.2,France
2019,0.3,0.2,Germany
2019,0.0,0.0,Greece
2019,0.2,0.2,Hungary
2019,0.4,0.0,Ireland
2019,0.1,0.0,Italy
2019,0.1,0.0,Latvia
2019,0.1,0.0,Lithuania
2019,0.4,0.1,Luxembourg
2019,1.2,1.0,Netherlands
2019,9.4,4.1,Norway
2019,0.0,0.0,Poland
2019,0.3,0.2,Portugal
2019,0.0,0.0,Romania
2019,0.1,0.0,Slovakia
2019,0.1,0.0,Slovenia
2019,0.1,0.1,Spain
2019,0.6,1.4,Sweden
2019,0.3,0.4,United Kingdom
2020,0.9,0.3,Austria
2020,0.5,1.2,Belgium
2020,0.1,0.0,Bulgaria
2020,0.1,0.0,Croatia
2020,0.0,0.1,Cyprus
2020,0.0,0.0,Czech Rep.
2020,1.2,1.1,Denmark
2020,0.2,0.0,Estonia
2020,0.5,0.6,European Union
2020,0.4,1.7,Finland
2020,0.6,0.4,France
2020,0.6,0.6,Germany
2020,0.0,0.0,Greece
2020,0.3,0.3,Hungary
2020,0.6,0.6,Ireland
2020,0.1,0.1,Italy
2020,0.2,0.0,Latvia
2020,0.2,0.0,Lithuania
2020,1.0,1.1,Luxembourg
2020,2.0,1.1,Netherlands
2020,12.1,5.1,Norway
2020,0.1,0.0,Poland
2020,0.5,0.6,Portugal
2020,0.1,0.0,Romania
2020,0.1,0.1,Slovakia
2020,0.3,0.0,Slovenia
2020,0.2,0.2,Spain
2020,1.1,2.5,Sweden
2020,0.5,0.6,United Kingdom
2021,1.5,0.6,Austria
2021,0.9,2.0,Belgium
2021,0.1,0.1,Bulgaria
2021,0.2,0.1,Croatia
2021,0.1,0.1,Cyprus
2021,0.1,0.1,Czech Rep.
2021,2.4,2.8,Denmark
2021,0.3,0.0,Estonia
2021,0.8,0.7,European Union
2021,0.8,2.8,Finland
2021,1.0,0.8,France
2021,1.3,1.2,Germany
2021,0.0,0.0,Greece
2021,0.5,0.5,Hungary
2021,0.9,0.8,Ireland
2021,0.3,0.3,Italy
2021,0.3,0.0,Latvia
2021,0.3,0.1,Lithuania
2021,1.9,1.9,Luxembourg
