Region,BEV_growth,ICE_growth
Austria,27.0,-2.6
Belgium,8.2,-4.0
Bulgaria,78.8,-0.5
Croatia,349.7,-17.4
Cyprus,23.9,-32.3
Czech Rep.,24.9,0.1
Denmark,41.2,-53.1
Estonia,39.0,49.5
European Union,40.4,-17.1
Finland,39.9,-31.9
France,62.9,-36.4
Germany,48.0,-14.9
Greece,23.9,-19.1
Hungary,43.6,-5.7
Ireland,47.9,-20.5
Italy,77.6,-19.6
Latvia,12.9,-1.0
Lithuania,53.7,-11.8
Luxembourg,18.1,-9.3
Netherlands,-0.3,-46.2
Norway,1.3,-40.8
Poland,15.6,-6.0
Portugal,38.7,-17.5
Romania,72.5,-28.0
Slovakia,33.4,-11.5
Slovenia,124.5,-2.7
Spain,36.7,-20.3
Sweden,18.4,-6.1
United Kingdom,26.6,-12.1
