Powertrain,Region,Registrations,Share
BEV,Austria,40060,24.3
BEV,Belgium,83282,36.1
BEV,Bulgaria,2029,7.8
BEV,Croatia,1781,4.0
BEV,Cyprus,911,12.6
BEV,Czech Rep.,8630,6.6
BEV,Denmark,80707,79.9
BEV,Estonia,617,6.2
BEV,European Union,1220890,20.7
BEV,Finland,17798,47.8
BEV,France,241562,28.2
BEV,Germany,368006,24.8
BEV,Greece,5284,6.3
BEV,Hungary,7497,10.0
BEV,Ireland,20159,23.7
BEV,Italy,79434,8.5
BEV,Latvia,839,7.4
BEV,Lithuania,1852,7.7
BEV,Luxembourg,7745,29.2
BEV,Netherlands,63776,36.5
BEV,Norway,71662,97.6
BEV,Poland,16479,5.3
BEV,Portugal,34706,25.3
BEV,Romania,5522,8.5
BEV,Slovakia,2678,6.2
BEV,Slovenia,6062,16.5
BEV,Spain,63201,9.8
BEV,Sweden,58801,41.5
BEV,United Kingdom,284579,25.0
PHEV,Austria,18023,11.0
PHEV,Belgium,13038,5.7
PHEV,Bulgaria,480,1.8
PHEV,Croatia,2707,6.1
PHEV,Cyprus,411,5.7
PHEV,Czech Rep.,6517,5.0
PHEV,Denmark,706,0.7
PHEV,Estonia,864,8.7
PHEV,European Union,577735,9.8
PHEV,Finland,4753,12.8
PHEV,France,47865,5.6
PHEV,Germany,163793,11.0
PHEV,Greece,5198,6.2
PHEV,Hungary,5988,8.0
PHEV,Ireland,12530,14.7
PHEV,Italy,84527,9.0
PHEV,Latvia,1214,10.7
PHEV,Lithuania,2914,12.1
PHEV,Luxembourg,1530,5.8
PHEV,Netherlands,41942,24.0
PHEV,Norway,486,0.7
PHEV,Poland,26686,8.6
PHEV,Portugal,19631,14.3
PHEV,Romania,0,0.0
PHEV,Slovakia,1886,4.3
PHEV,Slovenia,1354,3.7
PHEV,Spain,77941,12.0
PHEV,Sweden,34930,24.6
PHEV,United Kingdom,148132,13.0
HEV,Austria,49751,30.2
HEV,Belgium,28285,12.3
HEV,Bulgaria,1607,6.2
HEV,Croatia,17496,39.6
HEV,Cyprus,3642,50.3
HEV,Czech Rep.,31060,23.9
HEV,Denmark,11702,11.6
HEV,Estonia,5820,58.3
HEV,European Union,2198148,37.3
HEV,Finland,10377,27.9
HEV,France,388283,45.3
HEV,Germany,427633,28.8
HEV,Greece,47551,56.6
HEV,Hungary,38508,51.4
HEV,Ireland,23599,27.7
HEV,Italy,462925,49.5
HEV,Latvia,0,0.0
HEV,Lithuania,12660,52.5
HEV,Luxembourg,8908,33.6
