Q_Year,BEV market share,Total car registrations
Q1 2019,3.15,80855
Q2 2019,2.49,95054
Q3 2019,3.02,82363
Q4 2019,2.62,71091
Q1 2020,4.45,54680
Q2 2020,4.09,58107
Q3 2020,6.1,67852
Q4 2020,10.33,68101
Q1 2021,10.42,63522
Q2 2021,12.32,70874
Q3 2021,15.85,55485
Q4 2021,18.5,49922
Q1 2022,13.7,52375
Q2 2022,13.03,56231
Q3 2022,17.61,54603
Q4 2022,19.41,51841
Q1 2023,17.82,63052
Q2 2023,19.07,63638
Q3 2023,20.5,56196
Q4 2023,22.62,56264
Q1 2024,17.07,63263
Q2 2024,15.83,71850
Q3 2024,18.7,55910
Q4 2024,19.1,62766
Q1 2025,21.47,66017
Q2 2025,22.53,77034
Q3 2025,20.28,72064
Q4 2025,20.75,69863
Q1 2026,22.46,77235
Q2 2026,26.02,87294
