Q_Year,BEV market share,Total car registrations
Q1 2019,1.41,155865
Q2 2019,1.56,154623
Q3 2019,1.66,128761
Q4 2019,1.9,110754
Q1 2020,2.26,127416
Q2 2020,2.29,89189
Q3 2020,3.75,117002
Q4 2020,5.81,97884
Q1 2021,3.39,119237
Q2 2021,4.48,113154
Q3 2021,7.62,81176
Q4 2021,10.61,69556
Q1 2022,9.35,103146
Q2 2022,8.2,92241
Q3 2022,10.05,86103
Q4 2022,13.89,84813
Q1 2023,15.8,131484
Q2 2023,17.14,132991
Q3 2023,22.76,110373
Q4 2023,24.15,101827
Q1 2024,23.01,135140
Q2 2024,25.97,128268
Q3 2024,34.22,93160
Q4 2024,34.26,91709
Q1 2025,33.41,120939
Q2 2025,32.18,113677
Q3 2025,35.0,89252
Q4 2025,39.19,90902
Q1 2026,34.68,113805
Q2 2026,37.49,116876
