Q_Year,BEV market share,Total car registrations
Q1 2019,,9280
Q2 2019,,10935
Q3 2019,,9679
Q4 2019,,9525
Q1 2020,2.03,7250
Q2 2020,1.81,5629
Q3 2020,0.36,7320
Q4 2020,0.86,7015
Q1 2021,1.02,5572
Q2 2021,1.53,7333
Q3 2021,1.96,6118
Q4 2021,3.45,5500
Q1 2022,2.34,6674
Q2 2022,3.98,7882
Q3 2022,3.25,7435
Q4 2022,4.84,6709
Q1 2023,5.9,7123
Q2 2023,4.37,10510
Q3 2023,5.08,9749
Q4 2023,4.27,10342
Q1 2024,3.57,11528
Q2 2024,3.99,11519
Q3 2024,4.04,9346
Q4 2024,3.94,10548
Q1 2025,4.61,11507
Q2 2025,4.8,12576
Q3 2025,4.43,12133
Q4 2025,5.66,13203
Q1 2026,6.52,11465
