Q_Year,BEV market share,Total car registrations
Q1 2019,,12139
Q2 2019,,26017
Q3 2019,,13181
Q4 2019,0.48,11601
Q1 2020,0.57,10029
Q2 2020,0.55,7407
Q3 2020,1.51,10821
Q4 2020,3.48,7827
Q1 2021,1.26,10482
Q2 2021,1.59,15806
Q3 2021,3.1,11467
Q4 2021,7.62,8043
Q1 2022,2.47,9991
Q2 2022,1.56,13555
Q3 2022,4.17,12048
Q4 2022,4.88,8334
Q1 2023,4.28,13159
Q2 2023,1.76,20276
Q3 2023,2.74,13666
Q4 2023,3.23,10593
Q1 2024,1.26,15432
Q2 2024,2.48,24159
Q3 2024,5.25,13157
Q4 2024,2.53,12272
Q1 2025,1.35,15143
Q2 2025,0.72,26808
Q3 2025,2.15,14740
Q4 2025,4.21,13150
Q1 2026,4.62,16895
