Q_Year,BEV market share,Total car registrations
Q1 2019,0.18,2763
Q2 2019,0.19,3778
Q3 2019,0.21,2924
Q4 2019,0.19,2683
Q1 2020,0.14,2949
Q2 2020,0.35,2023
Q3 2020,0.4,2725
Q4 2020,0.81,2454
Q1 2021,0.95,2746
Q2 2021,0.72,3048
Q3 2021,0.72,2795
Q4 2021,0.69,2035
Q1 2022,2.19,3059
Q2 2022,3.55,3073
Q3 2022,4.02,2938
Q4 2022,4.23,2556
Q1 2023,4.39,4057
Q2 2023,3.63,3585
Q3 2023,6.31,3946
Q4 2023,7.33,3152
Q1 2024,7.08,4465
Q2 2024,4.16,4326
Q3 2024,10.13,3513
Q4 2024,14.0,2436
Q1 2025,8.09,4465
Q2 2025,9.95,3757
Q3 2025,11.55,3583
Q4 2025,11.49,2829
Q1 2026,11.58,3670
