Q_Year,BEV market share,Total car registrations
Q1 2019,0.24,59616
Q2 2019,0.32,68882
Q3 2019,0.36,62612
Q4 2019,0.29,58805
Q1 2020,1.72,50194
Q2 2020,0.89,44835
Q3 2020,0.9,53290
Q4 2020,2.81,54652
Q1 2021,1.16,49534
Q2 2021,1.12,63271
Q3 2021,1.19,49019
Q4 2021,1.85,44928
Q1 2022,1.66,47391
Q2 2022,2.27,51525
Q3 2022,2.14,44927
Q4 2022,2.13,48188
Q1 2023,2.37,56341
Q2 2023,2.82,59207
Q3 2023,3.16,52016
Q4 2023,3.8,53855
Q1 2024,2.27,57605
Q2 2024,4.61,61616
Q3 2024,5.83,52776
Q4 2024,6.2,59600
Q1 2025,5.22,59686
Q2 2025,6.03,62953
Q3 2025,5.47,59798
Q4 2025,5.47,66282
Q1 2026,5.68,60550
Q2 2026,7.5,69258
