Q_Year,BEV market share,Total car registrations
Q1 2019,1.52,66172
Q2 2019,2.84,55925
Q3 2019,2.59,51334
Q4 2019,3.1,51979
Q1 2020,4.38,48860
Q2 2020,3.98,39564
Q3 2020,7.15,53761
Q4 2020,12.01,55977
Q1 2021,6.82,43886
Q2 2021,8.42,52603
Q3 2021,17.44,43463
Q4 2021,22.01,45380
Q1 2022,17.39,34230
Q2 2022,15.84,39319
Q3 2022,20.75,35586
Q4 2022,28.81,39188
Q1 2023,29.79,39960
Q2 2023,32.15,44384
Q3 2023,36.93,39680
Q4 2023,44.96,48774
Q1 2024,41.15,36940
Q2 2024,48.08,49422
Q3 2024,54.8,39936
Q4 2024,60.56,46816
Q1 2025,66.48,36913
Q2 2025,62.0,52641
Q3 2025,70.2,44548
Q4 2025,75.37,50539
Q1 2026,80.02,43703
