Q_Year,BEV market share,Total car registrations
Q1 2019,0.26,6509
Q2 2019,0.31,8069
Q3 2019,0.35,6952
Q4 2019,0.23,6055
Q1 2020,0.78,5776
Q2 2020,1.69,3610
Q3 2020,1.98,5306
Q4 2020,2.86,4586
Q1 2021,1.66,5728
Q2 2021,2.26,7269
Q3 2021,1.86,5593
Q4 2021,3.18,3803
Q1 2022,2.83,5191
Q2 2022,3.6,5918
Q3 2022,3.33,5107
Q4 2022,3.75,5390
Q1 2023,4.33,5658
Q2 2023,6.16,6473
Q3 2023,7.21,5323
Q4 2023,7.77,5366
Q1 2024,6.72,4716
Q2 2024,6.09,5451
Q3 2024,5.88,5660
Q4 2024,3.54,9559
Q1 2025,10.56,2121
Q2 2025,5.45,4035
Q3 2025,6.55,3266
Q4 2025,5.78,3633
Q1 2026,6.12,4250
Q2 2026,6.23,5729
