Q_Year,BEV market share,Total car registrations
Q1 2019,1.64,3326599
Q2 2019,1.57,3576242
Q3 2019,1.95,2988376
Q4 2019,2.51,3115114
Q1 2020,3.71,2475755
Q2 2020,3.53,1797994
Q3 2020,4.9,2770697
Q4 2020,8.62,2877004
Q1 2021,5.71,2560413
Q2 2021,7.5,2801673
Q3 2021,9.8,2168587
Q4 2021,14.22,2173471
Q1 2022,9.98,2246336
Q2 2022,9.88,2362680
Q3 2022,11.91,2179238
Q4 2022,16.46,2471876
Q1 2023,12.11,2650711
Q2 2023,13.72,2787942
Q3 2023,16.33,2502096
Q4 2023,16.36,2606967
Q1 2024,12.03,2768639
Q2 2024,13.02,2915204
Q3 2024,14.54,2305933
Q4 2024,15.14,2642605
Q1 2025,15.21,2715008
Q2 2025,15.94,2861560
Q3 2025,17.37,2480767
Q4 2025,20.98,2765496
Q1 2026,19.38,2822616
Q2 2026,,3074067
