Q_Year,BEV market share,Total car registrations
Q1 2019,1.63,29104
Q2 2019,1.68,31154
Q3 2019,2.1,27667
Q4 2019,1.22,26263
Q1 2020,3.25,28270
Q2 2020,3.04,19124
Q3 2020,4.54,26028
Q4 2020,6.79,23008
Q1 2021,5.37,27976
Q2 2021,9.15,28756
Q3 2021,10.43,21927
Q4 2021,18.82,19818
Q1 2022,13.99,21729
Q2 2022,13.37,21767
Q3 2022,20.16,19415
Q4 2022,24.85,18776
Q1 2023,31.41,20966
Q2 2023,33.64,25907
Q3 2023,34.63,21702
Q4 2023,35.5,18927
Q1 2024,25.85,18444
Q2 2024,28.02,20710
Q3 2024,31.04,16346
Q4 2024,33.53,18564
Q1 2025,33.75,16700
Q2 2025,34.49,20556
Q3 2025,38.97,16686
Q4 2025,41.9,17939
Q1 2026,46.87,17202
Q2 2026,48.54,20055
