Q_Year,BEV market share,Total car registrations
Q1 2019,1.91,553335
Q2 2019,1.71,613107
Q3 2019,1.98,474925
Q4 2019,2.16,572912
Q1 2020,7.12,364679
Q2 2020,5.43,351119
Q3 2020,5.67,450900
Q4 2020,8.39,483420
Q1 2021,6.9,441791
Q2 2021,8.74,480974
Q3 2021,10.2,337608
Q4 2021,13.85,398630
Q1 2022,11.91,365360
Q2 2022,12.26,406620
Q3 2022,14.0,340087
Q4 2022,14.91,416968
Q1 2023,15.41,420887
Q2 2023,15.58,468889
Q3 2023,16.72,398848
Q4 2023,19.26,486099
Q1 2024,17.94,444902
Q2 2024,16.72,469984
Q3 2024,16.65,351016
Q4 2024,16.3,452510
Q1 2025,18.17,410085
Q2 2025,17.08,432119
Q3 2025,19.73,344580
Q4 2025,24.84,445368
Q1 2026,27.91,401555
Q2 2026,28.42,455610
