Q_Year,BEV market share,Total car registrations
Q1 2019,1.81,880092
Q2 2019,1.57,968908
Q3 2019,1.9,891158
Q4 2019,1.78,867100
Q1 2020,3.71,701362
Q2 2020,3.61,509260
Q3 2020,6.52,831209
Q4 2020,10.95,875847
Q1 2021,9.87,656448
Q2 2021,11.45,734433
Q3 2021,14.06,626671
Q4 2021,19.74,604571
Q1 2022,13.38,625953
Q2 2022,13.68,612015
Q3 2022,16.76,629898
Q4 2022,25.31,783472
Q1 2023,14.21,666818
Q2 2023,17.19,730052
Q3 2023,22.54,741196
Q4 2023,19.38,706543
Q1 2024,11.71,694785
Q2 2024,13.23,776856
Q3 2024,14.32,644433
Q4 2024,14.86,701257
Q1 2025,17.0,664571
Q2 2025,18.39,738218
Q3 2025,18.86,707559
Q4 2025,21.81,747243
Q1 2026,22.82,699404
Q2 2026,26.55,784989
