Q_Year,BEV market share,Total car registrations
Q1 2019,0.14,26289
Q2 2019,0.17,39268
Q3 2019,0.18,27332
Q4 2019,0.18,21337
Q1 2020,0.33,21390
Q2 2020,0.42,15180
Q3 2020,0.67,23476
Q4 2020,1.85,20931
Q1 2021,1.79,23439
Q2 2021,1.76,34923
Q3 2021,1.95,23394
Q4 2021,3.59,19155
Q1 2022,2.25,22427
Q2 2022,2.41,32371
Q3 2022,2.51,28138
Q4 2022,3.73,22347
Q1 2023,4.12,33772
Q2 2023,4.97,36590
Q3 2023,5.07,34148
Q4 2023,4.79,29974
Q1 2024,4.31,36668
Q2 2024,4.26,41352
Q3 2024,7.53,30015
Q4 2024,10.69,29040
Q1 2025,6.09,33196
Q2 2025,4.99,44966
Q3 2025,5.54,34070
Q4 2025,8.57,31967
Q1 2026,6.59,34812
Q2 2026,6.08,49153
