Q_Year,BEV market share,Total car registrations
Q1 2019,1.11,34339
Q2 2019,1.04,40209
Q3 2019,1.36,40556
Q4 2019,1.12,42802
Q1 2020,1.58,32668
Q2 2020,2.11,23014
Q3 2020,2.24,34420
Q4 2020,3.36,37929
Q1 2021,1.74,32197
Q2 2021,2.05,32619
Q3 2021,3.7,29737
Q4 2021,7.25,27367
Q1 2022,4.44,28690
Q2 2022,3.46,28723
Q3 2022,4.13,28361
Q4 2022,4.94,25758
Q1 2023,5.59,29561
Q2 2023,4.5,26906
Q3 2023,5.03,26542
Q4 2023,6.47,24711
Q1 2024,7.23,31673
Q2 2024,7.47,31664
Q3 2024,7.3,25715
Q4 2024,6.25,32559
Q1 2025,7.32,32899
Q2 2025,8.47,33199
Q3 2025,9.4,29848
Q4 2025,8.89,33494
Q1 2026,8.76,36455
Q2 2026,11.2,38450
