Q_Year,BEV market share,Total car registrations
Q1 2019,2.24,64126
Q2 2019,3.12,16632
Q3 2019,3.07,33187
Q4 2019,14.85,3164
Q1 2020,3.31,49794
Q2 2020,7.73,3090
Q3 2020,5.45,31630
Q4 2020,10.5,3810
Q1 2021,5.86,48030
Q2 2021,9.57,15823
Q3 2021,9.46,36892
Q4 2021,19.75,4187
Q1 2022,12.5,49890
Q2 2022,14.44,15286
Q3 2022,16.7,36279
Q4 2022,30.7,3804
Q1 2023,16.0,58085
Q2 2023,25.76,19411
Q3 2023,18.13,40858
Q4 2023,27.43,3956
Q1 2024,12.72,62543
Q2 2024,16.98,16383
Q3 2024,14.07,38322
Q4 2024,25.83,5152
Q1 2025,15.95,62498
Q2 2025,19.01,19246
Q3 2025,21.91,39924
Q4 2025,37.25,3286
Q1 2026,21.55,64893
Q2 2026,30.44,20295
