Q_Year,BEV market share,Total car registrations
Q1 2019,0.22,538067
Q2 2019,0.71,545119
Q3 2019,0.71,385054
Q4 2019,0.64,448711
Q1 2020,1.55,347405
Q2 2020,1.92,236827
Q3 2020,1.98,382082
Q4 2020,3.61,415332
Q1 2021,2.97,447315
Q2 2021,3.88,437922
Q3 2021,5.99,280683
Q4 2021,6.91,292397
Q1 2022,3.34,338320
Q2 2022,3.95,345969
Q3 2022,3.75,291830
Q4 2022,3.9,340697
Q1 2023,3.83,427067
Q2 2023,3.94,413683
Q3 2023,3.9,335253
Q4 2023,5.27,389328
Q1 2024,2.95,450976
Q2 2024,4.97,434755
Q3 2024,4.19,316716
Q4 2024,4.88,356782
Q1 2025,5.18,444052
Q2 2025,5.29,410976
Q3 2025,5.22,312967
Q4 2025,9.41,356848
Q1 2026,7.86,484577
Q2 2026,9.16,451468
