Q_Year,BEV market share,Total car registrations
Q1 2019,0.54,4460
Q2 2019,0.44,5024
Q3 2019,0.35,4626
Q4 2019,0.58,4123
Q1 2020,1.14,3865
Q2 2020,2.08,2698
Q3 2020,3.36,3841
Q4 2020,2.51,3112
Q1 2021,1.92,3535
Q2 2021,3.31,4265
Q3 2021,2.2,3996
Q4 2021,4.48,2746
Q1 2022,4.23,3688
Q2 2022,5.7,4473
Q3 2022,6.44,4534
Q4 2022,9.01,4083
Q1 2023,10.56,4525
Q2 2023,7.87,5378
Q3 2023,8.64,4690
Q4 2023,8.6,4490
Q1 2024,6.71,3918
Q2 2024,6.73,4816
Q3 2024,8.0,4351
Q4 2024,7.89,4244
Q1 2025,7.53,3905
Q2 2025,6.12,7332
Q3 2025,8.04,6279
Q4 2025,7.09,4990
Q1 2026,6.47,4993
Q2 2026,8.12,6353
