Q_Year,BEV market share,Total car registrations
Q1 2019,0.43,10224
Q2 2019,0.23,13225
Q3 2019,0.41,11230
Q4 2019,0.36,11709
Q1 2020,0.81,10747
Q2 2020,1.21,6118
Q3 2020,1.46,11458
Q4 2020,1.04,12015
Q1 2021,0.86,7658
Q2 2021,2.23,11039
Q3 2021,3.57,7656
Q4 2021,11.23,5101
Q1 2022,3.95,6503
Q2 2022,4.39,7501
Q3 2022,5.88,6602
Q4 2022,7.78,4938
Q1 2023,6.16,6626
Q2 2023,7.46,8054
Q3 2023,7.07,6814
Q4 2023,9.43,6034
Q1 2024,5.53,6437
Q2 2024,5.9,8351
Q3 2024,6.14,7381
Q4 2024,6.0,7953
Q1 2025,5.43,8934
Q2 2025,6.07,11856
Q3 2025,9.13,10582
Q4 2025,9.23,10602
Q1 2026,7.92,9571
