Q_Year,BEV market share,Total car registrations
Q1 2019,0.0,14867
Q2 2019,0.0,16225
Q3 2019,0.0,11895
Q4 2019,1.74,11936
Q1 2020,2.82,11908
Q2 2020,4.13,8843
Q3 2020,5.89,13240
Q4 2020,8.93,11113
Q1 2021,8.29,12456
Q2 2021,8.1,12831
Q3 2021,10.5,9724
Q4 2021,16.63,9361
Q1 2022,14.23,11347
Q2 2022,15.24,10464
Q3 2022,13.38,10253
Q4 2022,18.06,10030
Q1 2023,19.11,13149
Q2 2023,20.76,13345
Q3 2023,24.68,11503
Q4 2023,26.26,11154
Q1 2024,23.73,12498
Q2 2024,27.58,12584
Q3 2024,29.94,10835
Q4 2024,23.48,13188
Q1 2025,29.84,12511
Q2 2025,22.17,12747
Q3 2025,25.26,11233
Q4 2025,30.63,10667
Q1 2026,26.97,12538
