Q_Year,BEV market share,Total car registrations
Q1 2019,7.47,115451
Q2 2019,7.82,110328
Q3 2019,12.06,104970
Q4 2019,27.77,114468
Q1 2020,8.44,103053
Q2 2020,10.56,54918
Q3 2020,15.91,90236
Q4 2020,41.11,107388
Q1 2021,5.66,80587
Q2 2021,14.15,82175
Q3 2021,18.15,75585
Q4 2021,39.15,86529
Q1 2022,15.78,78539
Q2 2022,22.79,75355
Q3 2022,22.74,74073
Q4 2022,30.89,87443
Q1 2023,25.61,98425
Q2 2023,31.99,103367
Q3 2023,31.22,87169
Q4 2023,35.25,80830
Q1 2024,29.46,102010
Q2 2024,33.06,91607
Q3 2024,34.91,86266
Q4 2024,41.16,101344
Q1 2025,35.35,91766
Q2 2025,34.65,90914
Q3 2025,34.18,87273
Q4 2025,52.82,118071
Q1 2026,30.52,81480
Q2 2026,41.7,93309
