Q_Year,BEV market share,Total car registrations
Q1 2019,48.47,38485
Q2 2019,41.65,39724
Q3 2019,44.07,32408
Q4 2019,34.2,31764
Q1 2020,50.52,32358
Q2 2020,45.25,26866
Q3 2020,54.46,36126
Q4 2020,62.16,46055
Q1 2021,52.77,36309
Q2 2021,60.71,47621
Q3 2021,72.31,44926
Q4 2021,70.0,47420
Q1 2022,82.87,32342
Q2 2022,75.7,36163
Q3 2022,75.18,34256
Q4 2022,81.54,71568
Q1 2023,84.53,28665
Q2 2023,81.94,37884
Q3 2023,84.28,28950
Q4 2023,79.21,31456
Q1 2024,90.21,22252
Q2 2024,81.9,39006
Q3 2024,94.67,30536
Q4 2024,90.72,36893
Q1 2025,90.59,31596
Q2 2025,78.06,53966
Q3 2025,97.27,37893
Q4 2025,97.59,66224
Q1 2026,97.95,27175
