Q_Year,BEV market share,Total car registrations
Q1 2019,0.3,139143
Q2 2019,0.39,138118
Q3 2019,0.19,132268
Q4 2019,0.21,144413
Q1 2020,0.55,107692
Q2 2020,0.75,72212
Q3 2020,0.9,115380
Q4 2020,1.13,133243
Q1 2021,0.8,117860
Q2 2021,1.23,124258
Q3 2021,1.54,105152
Q4 2021,3.09,99369
Q1 2022,2.24,102033
Q2 2022,2.32,110349
Q3 2022,2.98,104275
Q4 2022,3.28,103069
Q1 2023,3.33,123031
Q2 2023,3.8,115641
Q3 2023,3.28,111645
Q4 2023,3.94,124715
Q1 2024,3.02,138696
Q2 2024,3.38,138261
Q3 2024,2.99,121674
Q4 2024,2.66,152937
Q1 2025,3.59,142105
Q2 2025,6.39,143206
Q3 2025,8.12,142597
Q4 2025,10.31,169527
Q1 2026,5.83,151639
