Q_Year,BEV market share,Total car registrations
Q1 2019,3.57,59445
Q2 2019,2.58,69150
Q3 2019,3.34,45429
Q4 2019,2.94,49775
Q1 2020,5.92,45214
Q2 2020,5.05,19493
Q3 2020,3.94,40753
Q4 2020,6.46,39676
Q1 2021,5.09,31039
Q2 2021,6.18,50406
Q3 2021,10.12,31080
Q4 2021,15.89,34112
Q1 2022,10.64,34771
Q2 2022,9.68,40678
Q3 2022,11.89,38313
Q4 2022,13.22,42542
Q1 2023,16.09,52191
Q2 2023,14.97,57964
Q3 2023,19.86,43201
Q4 2023,23.2,46267
Q1 2024,15.96,59044
Q2 2024,17.06,57373
Q3 2024,23.79,41425
Q4 2024,24.46,51873
Q1 2025,20.8,58545
Q2 2025,19.61,65481
Q3 2025,24.59,47538
Q4 2025,29.08,53475
Q1 2026,23.63,64059
Q2 2026,26.8,73021
