Q_Year,BEV market share,Total car registrations
Q1 2019,0.59,35836
Q2 2019,0.68,35784
Q3 2019,1.04,52429
Q4 2019,1.35,37513
Q1 2020,0.97,27979
Q2 2020,1.52,21637
Q3 2020,2.31,34985
Q4 2020,3.45,41750
Q1 2021,2.0,20762
Q2 2021,1.7,26933
Q3 2021,2.56,40564
Q4 2021,13.44,32944
Q1 2022,7.27,28978
Q2 2022,7.91,29734
Q3 2022,8.96,36389
Q4 2022,11.51,34052
Q1 2023,8.49,36966
Q2 2023,10.52,36679
Q3 2023,12.84,37066
Q4 2023,10.65,33900
Q1 2024,10.23,33228
Q2 2024,4.66,50277
Q3 2024,5.11,32004
Q4 2024,8.77,27571
Q1 2025,6.5,33228
Q2 2025,3.29,31592
Q3 2025,5.06,43950
Q4 2025,7.13,48033
Q1 2026,9.48,27275
