Q_Year,BEV market share,Total car registrations
Q1 2019,0.23,23897
Q2 2019,0.15,28178
Q3 2019,0.11,24343
Q4 2019,0.17,25150
Q1 2020,0.88,18966
Q2 2020,1.08,15049
Q3 2020,1.16,21592
Q4 2020,1.64,20698
Q1 2021,1.02,15402
Q2 2021,1.2,23047
Q3 2021,1.39,20270
Q4 2021,2.3,16981
Q1 2022,1.57,19221
Q2 2022,1.75,20732
Q3 2022,1.8,18153
Q4 2022,1.92,20735
Q1 2023,1.79,22155
Q2 2023,2.96,23302
Q3 2023,2.5,22347
Q4 2023,3.47,20199
Q1 2024,2.56,23391
Q2 2024,2.68,23654
Q3 2024,2.34,21247
Q4 2024,1.98,25117
Q1 2025,4.09,20317
Q2 2025,4.74,24833
Q3 2025,4.31,22304
Q4 2025,5.49,25649
Q1 2026,5.06,20042
