Q_Year,BEV market share,Total car registrations
Q1 2019,1.18,16718
Q2 2019,0.95,16753
Q3 2019,0.25,13688
Q4 2019,0.35,12703
Q1 2020,2.51,11714
Q2 2020,3.11,10375
Q3 2020,3.46,11575
Q4 2020,9.64,6536
Q1 2021,2.1,16291
Q2 2021,2.47,14841
Q3 2021,3.49,12190
Q4 2021,5.41,10890
Q1 2022,4.34,12752
Q2 2022,3.87,13095
Q3 2022,5.42,10911
Q4 2022,6.7,9581
Q1 2023,8.52,13450
Q2 2023,7.34,13860
Q3 2023,9.14,11067
Q4 2023,11.07,10432
Q1 2024,6.46,13993
Q2 2024,5.19,14344
Q3 2024,5.46,12668
Q4 2024,6.72,12013
Q1 2025,8.79,14672
Q2 2025,9.31,15155
Q3 2025,11.82,14590
Q4 2025,15.18,13139
Q1 2026,13.92,16501
