Q_Year,BEV market share,Total car registrations
Q1 2019,0.87,316890
Q2 2019,0.72,375553
Q3 2019,0.74,272845
Q4 2019,0.88,292963
Q1 2020,1.81,218703
Q2 2020,1.01,121152
Q3 2020,1.85,255581
Q4 2020,3.13,255774
Q1 2021,1.85,186055
Q2 2021,2.15,270777
Q3 2021,3.02,191122
Q4 2021,4.09,211523
Q1 2022,4.41,164399
Q2 2022,2.91,243359
Q3 2022,3.52,192524
Q4 2022,4.43,213115
Q1 2023,4.45,237563
Q2 2023,4.97,267858
Q3 2023,5.2,205959
Q4 2023,7.15,237979
Q1 2024,4.65,244879
Q2 2024,4.74,290364
Q3 2024,6.14,209455
Q4 2024,7.12,272187
Q1 2025,6.88,279368
Q2 2025,8.17,330433
Q3 2025,10.55,244857
Q4 2025,10.06,293992
Q1 2026,9.06,300529
Q2 2026,10.36,347182
