Q_Year,BEV market share,Total car registrations
Q1 2019,5.54,73880
Q2 2019,4.55,94002
Q3 2019,4.74,79892
Q4 2019,3.18,108262
Q1 2020,8.52,66141
Q2 2020,6.0,59544
Q3 2020,9.21,76959
Q4 2020,13.06,89380
Q1 2021,5.62,90865
Q2 2021,21.27,82293
Q3 2021,24.95,59220
Q4 2021,29.27,68623
Q1 2022,28.29,69679
Q2 2022,26.88,74445
Q3 2022,30.27,60456
Q4 2022,44.36,83447
Q1 2023,36.18,63304
Q2 2023,38.18,77359
Q3 2023,41.51,69306
Q4 2023,38.82,79858
Q1 2024,30.87,59822
Q2 2024,32.47,72472
Q3 2024,39.03,61097
Q4 2024,37.39,76191
Q1 2025,32.97,63444
Q2 2025,37.08,77532
Q3 2025,35.79,63051
Q4 2025,39.86,68971
Q1 2026,40.73,61960
Q2 2026,42.01,79891
