Q_Year,BEV market share,Total car registrations
Q1 2019,0.86,701036
Q2 2019,1.05,568209
Q3 2019,2.21,593026
Q4 2019,2.84,448869
Q1 2020,3.78,483557
Q2 2020,7.47,169945
Q3 2020,6.04,590154
Q4 2020,10.74,387408
Q1 2021,7.47,425525
Q2 2021,8.69,484448
Q3 2021,12.6,406641
Q4 2021,19.84,330567
Q1 2022,15.37,417560
Q2 2022,13.29,384519
Q3 2022,14.86,406289
Q4 2022,22.58,405695
Q1 2023,15.42,494260
Q2 2023,16.85,455460
Q3 2023,17.04,502188
Q4 2023,16.88,451146
Q1 2024,15.45,545548
Q2 2024,17.95,461215
Q3 2024,20.27,507331
Q4 2024,28.8,388960
Q1 2025,22.03,545548
Q2 2025,21.07,496671
Q3 2025,23.24,535953
Q4 2025,28.02,442351
Q1 2026,22.38,614854
Q2 2026,,523075
