Region,Year,BEV,PHEV,HEV,ICE,Q2-BEV,Q2-PHEV,Q2-HEV,Q2-ICE
Austria,2020,15986,7641,26026,198680,,,,
Austria,2021,33380,14626,41970,149741,,,,
Austria,2022,34179,13268,40858,126682,,,,
Austria,2023,47621,16956,50630,123922,,,,
Austria,2024,44622,16919,64099,128136,,,,
Austria,2025,60651,28820,83044,112461,,,,
Austria,2026,,,,,40060,18023,49751,56693
Belgium,2020,14994,31694,15204,365735,,,,
Belgium,2021,22677,47753,19580,290026,,,,
Belgium,2022,37638,59281,27472,239028,,,,
Belgium,2023,93285,100308,36781,242708,,,,
Belgium,2024,127703,67034,41305,208715,,,,
Belgium,2025,143849,39584,47023,181153,,,,
Belgium,2026,,,,,83282,13038,28285,103932
Bulgaria,2020,139,41,429,21589,,,,
Bulgaria,2021,433,117,662,23311,,,,
Bulgaria,2022,1002,141,713,26828,,,,
Bulgaria,2023,1816,355,693,34832,,,,
Bulgaria,2024,1665,467,1005,39804,,,,
Bulgaria,2025,2420,566,2045,44188,,,,
Bulgaria,2026,,,,,2029,480,1607,21812
Croatia,2020,533,143,2180,32688,,,,
Croatia,2021,1351,399,6440,35611,,,,
Croatia,2022,1369,836,8174,31739,,,,
Croatia,2023,1637,992,12875,40468,,,,
Croatia,2024,1793,1405,17736,42682,,,,
Croatia,2025,1266,2529,22538,42228,,,,
Croatia,2026,,,,,1781,2707,17496,21800
Cyprus,2020,42,83,1408,8462,,,,
Cyprus,2021,84,98,2475,7967,,,,
Cyprus,2022,403,228,3479,7516,,,,
Cyprus,2023,788,511,5633,7808,,,,
Cyprus,2024,1193,664,6438,7808,,,,
Cyprus,2025,1474,773,6899,5488,,,,
Cyprus,2026,,,,,911,411,3642,2280
Czech Rep.,2020,3284,1981,12769,182351,,,,
Czech Rep.,2021,2655,3736,25580,171652,,,,
Czech Rep.,2022,3895,3560,28195,151592,,,,
Czech Rep.,2023,6700,5251,40288,165149,,,,
Czech Rep.,2024,10920,4826,50973,160061,,,,
Czech Rep.,2025,13806,11033,57120,160273,,,,
Czech Rep.,2026,,,,,8630,6517,31060,80862
Denmark,2020,14275,18243,9637,155968,,,,
Denmark,2021,24998,40476,31686,88182,,,,
Denmark,2022,30855,26442,28254,62772,,,,
Denmark,2023,62759,17283,30266,62489,,,,
Denmark,2024,89199,7092,29869,46954,,,,
Denmark,2025,126542,4692,25128,28251,,,,
Denmark,2026,,,,,80707,706,11702,7918
Estonia,2020,342,75,2715,14954,,,,
Estonia,2021,484,239,6321,14826,,,,
Estonia,2022,731,426,7189,12937,,,,
Estonia,2023,1445,560,9067,11682,,,,
Estonia,2024,1320,1268,11536,11116,,,,
Estonia,2025,868,1403,6748,4036,,,,
Estonia,2026,,,,,617,864,5820,2678
European Union,2020,538734,507917,1184526,7501082,,,,
European Union,2021,877985,864103,1924732,5764584,,,,
European Union,2022,1123778,874182,2089653,4893839,,,,
European Union,2023,1538621,813480,2716963,5158014,,,,
European Union,2024,1447934,758944,3288862,4810496,,,,
European Union,2025,1880370,1015887,3733325,3840322,,,,
European Union,2026,,,,,1220890,577735,2198148,1748745
Finland,2020,4244,13231,18726,58366,,,,
Finland,2021,10153,20140,28108,39155,,,,
Finland,2022,14530,16171,25709,24662,,,,
Finland,2023,29535,18087,22376,17034,,,,
Finland,2024,21868,14863,22505,14668,,,,
Finland,2025,26745,14516,19569,11042,,,,
Finland,2026,,,,,17798,4753,10377,4329
France,2020,111127,74592,168873,1278561,,,,
France,2021,162167,141001,289837,1016982,,,,
France,2022,203122,126547,332669,807986,,,,
France,2023,298219,162950,432299,813310,,,,
France,2024,290614,146392,588895,632706,,,,
France,2025,326922,108627,716154,424630,,,,
France,2026,,,,,241562,47865,388283,150282
Germany,2020,194471,200469,327395,2181619,,,,
Germany,2021,356425,325449,429139,1497034,,,,
Germany,2022,471394,362093,465228,1335719,,,,
Germany,2023,524219,175724,664580,1465241,,,,
Germany,2024,380609,191905,755493,1475209,,,,
Germany,2025,545142,311398,816111,1172663,,,,
Germany,2026,,,,,368006,163793,427633,518237
Greece,2020,679,1456,11751,65311,,,,
Greece,2021,2176,4785,23382,67174,,,,
Greece,2022,2827,5493,29019,64236,,,,
Greece,2023,6379,8826,41560,73946,,,,
Greece,2024,8707,8262,57917,58758,,,,
Greece,2025,8892,11656,73125,45811,,,,
Greece,2026,,,,,5284,5198,47551,23400
Hungary,2020,3046,2996,31772,89882,,,,
Hungary,2021,4312,4236,48145,64500,,,,
Hungary,2022,4710,4874,42499,58553,,,,
Hungary,2023,5799,5542,45022,50795,,,,
Hungary,2024,8565,5695,56034,50954,,,,
Hungary,2025,11002,7136,65369,45294,,,,
Hungary,2026,,,,,7497,5988,38508,22520
Ireland,2020,4013,2492,10986,70834,,,,
Ireland,2021,8646,7891,19247,69148,,,,
Ireland,2022,15678,7678,21252,60505,,,,
Ireland,2023,22789,10382,25039,64100,,,,
Ireland,2024,17459,12538,26839,64127,,,,
Ireland,2025,23601,18934,29692,52727,,,,
Ireland,2026,,,,,20159,12530,23599,28900
Italy,2020,32502,27407,221931,974920,,,,
Italy,2021,67284,69834,422845,760105,,,,
Italy,2022,49179,65580,449993,623426,,,,
Italy,2023,66265,69008,565551,720593,,,,
Italy,2024,65620,51792,623665,671346,,,,
Italy,2025,94624,98340,671923,519427,,,,
Italy,2026,,,,,79434,84527,462925,249800
Latvia,2020,307,73,1895,11108,,,,
Latvia,2021,414,137,3228,10051,,,,
Latvia,2022,1068,301,4347,10758,,,,
Latvia,2023,1692,363,5567,11120,,,,
Latvia,2024,1270,798,6095,8792,,,,
Latvia,2025,1602,2742,0,17760,,,,
Latvia,2026,,,,,839,1214,0,8996
Lithuania,2020,453,0,8293,31399,,,,
Lithuania,2021,1158,400,4231,25347,,,,
Lithuania,2022,1358,666,4738,18409,,,,
Lithuania,2023,2060,0,11763,13704,,,,
Lithuania,2024,1779,1685,13891,12190,,,,
Lithuania,2025,3150,4448,19603,14084,,,,
Lithuania,2026,,,,,1852,2914,12660,6247
Luxembourg,2020,2473,2685,3797,36231,,,,
Luxembourg,2021,4650,4443,7225,28051,,,,
Luxembourg,2022,6393,3847,8035,23817,,,,
Luxembourg,2023,11052,4804,9471,23824,,,,
Luxembourg,2024,12778,3831,10460,23808,,,,
Luxembourg,2025,12663,3721,13821,16949,,,,
Luxembourg,2026,,,,,7745,1530,8908,8326
Netherlands,2020,73005,14891,47583,217971,,,,
Netherlands,2021,63780,30991,71539,153741,,,,
Netherlands,2022,73394,34512,77888,124041,,,,
Netherlands,2023,113981,47082,90070,116257,,,,
Netherlands,2024,132166,52581,107124,87170,,,,
Netherlands,2025,156139,73445,102331,54742,,,,
Netherlands,2026,,,,,63776,41942,52316,16108
Norway,2020,76804,28909,12246,23448,,,,
Norway,2021,113751,38167,9780,14578,,,,
Norway,2022,138287,16124,10158,9760,,,,
Norway,2023,104587,10170,7584,4612,,,,
Norway,2024,114396,3489,6869,3924,,,,
Norway,2025,172231,2750,2391,2260,,,,
Norway,2026,,,,,71662,486,482,774
Poland,2020,3679,4505,66251,344538,,,,
Poland,2021,7166,9138,130354,286457,,,,
Poland,2022,11334,9664,136948,249554,,,,
Poland,2023,17078,13171,187293,244894,,,,
Poland,2024,16564,14990,248531,254920,,,,
Poland,2025,43311,34137,272968,227842,,,,
Poland,2026,,,,,16479,26686,157515,103724
Portugal,2020,7830,11867,11902,111973,,,,
Portugal,2021,13260,15660,19082,95080,,,,
Portugal,2022,17817,16026,24079,92944,,,,
Portugal,2023,36390,27146,28859,96017,,,,
Portugal,2024,41757,28346,35020,89515,,,,
Portugal,2025,52256,34166,50117,68174,,,,
Portugal,2026,,,,,34706,19631,38929,35315
Romania,2020,2845,1036,14271,99955,,,,
Romania,2021,6342,0,30706,68203,,,,
Romania,2022,11638,0,34410,69889,,,,
Romania,2023,15368,0,44217,67357,,,,
Romania,2024,9795,0,43401,67863,,,,
Romania,2025,8849,0,77140,48344,,,,
Romania,2026,,,,,5522,0,37563,16135
Slovakia,2020,918,863,7233,66345,,,,
Slovakia,2021,1105,1166,15148,57093,,,,
Slovakia,2022,1391,1556,17355,56841,,,,
Slovakia,2023,2346,2997,24183,56665,,,,
Slovakia,2024,2227,2243,28206,58926,,,,
Slovakia,2025,4377,4085,32168,50793,,,,
Slovakia,2026,,,,,2678,1886,15228,22809
Slovenia,2020,1647,39,1719,50088,,,,
Slovenia,2021,1723,308,6181,45204,,,,
Slovenia,2022,2293,590,6170,36587,,,,
Slovenia,2023,4330,1044,4903,38029,,,,
Slovenia,2024,3148,1162,5572,42302,,,,
Slovenia,2025,6419,1939,7969,40731,,,,
Slovenia,2026,,,,,6062,1354,6927,21960
Spain,2020,17927,23309,137425,659465,,,,
Spain,2021,23689,43227,219426,559095,,,,
Spain,2022,30545,47788,239471,480662,,,,
Spain,2023,51612,62164,302845,506395,,,,
Spain,2024,57374,58558,392365,475067,,,,
Spain,2025,101627,123989,482880,380879,,,,
Spain,2026,,,,,63201,77941,306666,177323
Sweden,2020,27973,66105,22355,172089,,,,
Sweden,2021,57473,77853,22195,140848,,,,
Sweden,2022,95035,66614,25509,96156,,,,
Sweden,2023,112208,61024,23575,86232,,,,
Sweden,2024,94333,63113,27409,79493,,,,
Sweden,2025,99723,72787,30302,68294,,,,
Sweden,2026,,,,,58801,34930,12101,35395
United Kingdom,2020,108205,67134,289992,1165733,,,,
United Kingdom,2021,190727,114554,444024,897876,,,,
United Kingdom,2022,267203,101414,479992,765454,,,,
United Kingdom,2023,314684,141311,601071,845988,,,,
United Kingdom,2024,381970,167178,689973,845985,,,,
United Kingdom,2025,473348,225143,745388,576644,,,,
United Kingdom,2026,,,,,284579,148132,428999,276217
