Year,Region,BEV,PHEV,HEV,Gas/Other,Diesel,Petrol
2020,Austria,6.4,3.1,10.5,0.2,36.5,43.3
2020,Belgium,3.5,7.3,3.5,0.9,32.9,51.8
2020,Bulgaria,0.6,0.2,1.9,0.7,11.8,84.8
2020,Croatia,1.5,0.4,6.0,2.0,35.5,54.6
2020,Cyprus,0.4,0.8,14.1,0.0,28.6,56.1
2020,Czech Rep.,1.6,1.0,6.3,1.3,29.4,60.4
2020,Denmark,7.2,9.2,4.9,0.0,22.6,56.2
2020,Estonia,1.8,0.4,14.5,3.5,24.7,55.0
2020,European Union,5.4,5.1,11.9,2.1,27.9,47.5
2020,Finland,4.4,13.7,19.4,1.9,13.3,47.3
2020,France,6.7,4.5,10.2,1.0,30.6,46.9
2020,Germany,6.7,6.9,11.2,0.5,28.1,46.7
2020,Greece,0.8,1.8,14.5,2.2,27.5,53.2
2020,Hungary,2.4,2.3,24.8,0.3,21.6,48.6
2020,Ireland,4.5,2.8,12.4,0.0,43.3,36.9
2020,Italy,2.4,2.0,16.1,9.1,32.7,37.8
2020,Latvia,2.3,0.5,14.0,1.0,34.1,48.0
2020,Lithuania,1.1,0.0,20.6,0.2,17.3,60.8
2020,Luxembourg,5.5,5.9,8.4,0.0,36.8,43.4
2020,Netherlands,20.5,4.2,13.4,0.6,3.6,57.7
2020,Norway,54.3,20.4,8.7,0.0,8.6,8.0
2020,Poland,0.9,1.1,15.5,2.2,18.5,61.9
2020,Portugal,5.4,8.2,8.2,1.3,32.8,44.2
2020,Romania,2.2,0.8,11.2,7.3,26.6,51.9
2020,Slovakia,1.2,1.1,9.5,1.2,25.0,61.9
2020,Slovenia,3.1,0.1,3.2,0.3,33.2,60.1
2020,Spain,2.1,2.7,16.1,1.5,27.7,49.8
2020,Sweden,9.6,22.6,7.7,1.2,22.0,36.9
2020,United Kingdom,6.6,4.1,17.8,0.0,16.0,55.4
2021,Austria,13.9,6.1,17.5,0.0,24.3,38.1
2021,Belgium,5.9,12.5,5.1,0.8,23.7,52.0
2021,Bulgaria,1.8,0.5,2.7,0.0,22.4,72.7
2021,Croatia,2.9,0.9,14.1,4.4,25.3,52.5
2021,Cyprus,0.8,0.9,23.3,0.0,14.4,60.6
2021,Czech Rep.,1.3,1.8,12.4,1.5,24.0,59.1
2021,Denmark,13.5,21.8,17.1,0.0,9.8,37.8
2021,Estonia,2.2,1.1,28.3,2.1,18.3,48.1
2021,European Union,9.1,8.9,19.8,2.8,19.6,39.9
2021,Finland,10.3,20.5,28.5,0.9,8.5,31.2
2021,France,9.8,8.5,17.5,3.0,21.1,40.2
2021,Germany,13.6,12.4,16.4,0.5,20.0,37.1
2021,Greece,2.2,4.7,23.2,3.4,17.4,49.2
2021,Hungary,3.5,3.5,39.5,0.6,15.6,37.3
2021,Ireland,8.2,7.5,18.3,0.0,33.4,32.5
2021,Italy,4.6,4.8,29.0,9.5,22.2,30.0
2021,Latvia,2.9,1.0,22.9,2.0,23.2,48.0
2021,Lithuania,3.7,1.3,13.5,1.0,15.4,65.2
2021,Luxembourg,10.5,10.0,16.3,0.0,25.2,38.0
2021,Netherlands,19.8,9.6,22.2,0.7,2.1,45.6
2021,Norway,64.5,21.7,5.5,0.0,4.0,4.2
