Region,Q_Year,BEV,PHEV,HEV,Gas/Other,Diesel,Petrol,ICE,BEV share,PHEV share,HEV share,Gas/Other share,Diesel share,Petrol share,ICE share
Austria,Q1 2019,2547.0,483.0,2263.0,61.0,31477.0,44024.0,75501.0,3.2,0.6,2.8,0.1,38.9,54.4,93.4
Austria,Q2 2019,2366.0,415.0,3733.0,185.0,36242.0,52113.0,88355.0,2.5,0.4,3.9,0.2,38.1,54.8,93.0
Austria,Q3 2019,2484.0,366.0,3812.0,139.0,23947.0,44839.0,68786.0,3.3,0.5,5.0,0.2,31.7,59.3,91.0
Austria,Q4 2019,1864.0,883.0,4550.0,195.0,27869.0,35730.0,63599.0,2.6,1.2,6.4,0.3,39.2,50.3,89.5
Austria,Q1 2020,2434.0,1189.0,4412.0,102.0,21319.0,25224.0,46543.0,4.5,2.2,8.1,0.2,39.0,46.1,85.1
Austria,Q2 2020,2378.0,1386.0,5112.0,122.0,21572.0,27537.0,49109.0,4.1,2.4,8.8,0.2,37.1,47.4,84.5
Austria,Q3 2020,4137.0,1854.0,7213.0,111.0,18322.0,29044.0,47366.0,6.8,3.1,11.9,0.2,30.2,47.9,78.1
Austria,Q4 2020,7037.0,3212.0,9289.0,72.0,22525.0,25966.0,48491.0,10.3,4.7,13.6,0.1,33.1,38.1,71.2
Austria,Q1 2021,6622.0,3723.0,10222.0,25.0,16291.0,26639.0,42930.0,10.4,5.9,16.1,0.0,25.6,41.9,67.6
Austria,Q2 2021,8729.0,4217.0,12352.0,36.0,17842.0,27698.0,45540.0,12.3,5.9,17.4,0.1,25.2,39.1,64.3
Austria,Q3 2021,8792.0,3400.0,10252.0,18.0,12272.0,20751.0,33023.0,15.8,6.1,18.5,0.0,22.1,37.4,59.5
Austria,Q4 2021,9237.0,3286.0,9144.0,7.0,11858.0,16390.0,28248.0,18.5,6.6,18.3,0.0,23.8,32.8,56.6
Austria,Q1 2022,7177.0,3173.0,9735.0,34.0,11857.0,20399.0,32256.0,13.7,6.1,18.6,0.1,22.6,38.9,61.6
Austria,Q2 2022,7327.0,3336.0,10952.0,10.0,12231.0,22375.0,34606.0,13.0,5.9,19.5,0.0,21.8,39.8,61.5
Austria,Q3 2022,9614.0,2897.0,9831.0,8.0,12956.0,19297.0,32253.0,17.6,5.3,18.0,0.0,23.7,35.3,59.1
Austria,Q4 2022,10061.0,3829.0,10373.0,11.0,11071.0,16496.0,27567.0,19.4,7.4,20.0,0.0,21.4,31.8,53.2
Austria,Q1 2023,11235.0,4392.0,12682.0,2.0,12780.0,21961.0,34741.0,17.8,7.0,20.1,0.0,20.3,34.8,55.1
Austria,Q2 2023,12137.0,4420.0,13397.0,11.0,12498.0,21175.0,33673.0,19.1,6.9,21.1,0.0,19.6,33.3,52.9
Austria,Q3 2023,11522.0,4273.0,12304.0,7.0,11182.0,16908.0,28090.0,20.5,7.6,21.9,0.0,19.9,30.1,50.0
Austria,Q4 2023,12727.0,3871.0,12247.0,1.0,10108.0,17310.0,27418.0,22.6,6.9,21.8,0.0,18.0,30.8,48.7
Austria,Q1 2024,10802.0,4281.0,14959.0,10.0,12691.0,20520.0,33211.0,17.1,6.8,23.6,0.0,20.1,32.4,52.5
Austria,Q2 2024,11376.0,4414.0,16204.0,2.0,13979.0,25875.0,39854.0,15.8,6.1,22.6,0.0,19.5,36.0,55.5
Austria,Q3 2024,10454.0,3796.0,14978.0,1.0,8452.0,18229.0,26681.0,18.7,6.8,26.8,0.0,15.1,32.6,47.7
Austria,Q4 2024,11990.0,4428.0,17958.0,0.0,9010.0,19380.0,28390.0,19.1,7.1,28.6,0.0,14.4,30.9,45.2
Austria,Q1 2025,14177.0,5530.0,18178.0,1.0,8544.0,19587.0,28131.0,21.5,8.4,27.5,0.0,12.9,29.7,42.6
Austria,Q2 2025,17357.0,7574.0,22035.0,1.0,9104.0,20963.0,30067.0,22.5,9.8,28.6,0.0,11.8,27.2,39.0
Austria,Q3 2025,14617.0,7689.0,21502.0,0.0,8167.0,20089.0,28256.0,20.3,10.7,29.8,0.0,11.3,27.9,39.2
Austria,Q4 2025,14500.0,8027.0,21329.0,0.0,7189.0,18818.0,26007.0,20.8,11.5,30.5,0.0,10.3,26.9,37.2
Austria,Q1 2026,17347.0,8054.0,23674.0,0.0,7731.0,20429.0,28160.0,22.5,10.4,30.7,0.0,10.0,26.5,36.5
Austria,Q2 2026,22713.0,9969.0,26077.0,2.0,8453.0,20080.0,28533.0,26.0,11.4,29.9,0.0,9.7,23.0,32.7
Belgium,Q1 2019,2196.0,2007.0,5410.0,601.0,46145.0,99505.0,145650.0,1.4,1.3,3.5,0.4,29.6,63.8,93.4
Belgium,Q2 2019,2405.0,1712.0,4350.0,1449.0,49644.0,95063.0,144707.0,1.6,1.1,2.8,0.9,32.1,61.5,93.6
Belgium,Q3 2019,2137.0,1926.0,4088.0,888.0,41099.0,78623.0,119722.0,1.7,1.5,3.2,0.7,31.9,61.1,93.0
