Region,BEV volume,market share
Denmark,80707,79.9
Finland,17798,47.8
Sweden,58801,41.5
Netherlands,63776,36.5
Belgium,83282,36.1
Luxembourg,7745,29.2
Portugal,34706,25.3
Austria,40060,24.3
Ireland,20159,23.7
Slovenia,6062,16.5
France,112083,13.1
Cyprus,911,12.6
United Kingdom,137614,12.1
Germany,159630,10.8
Hungary,7497,10.0
Spain,63201,9.8
Romania,5522,8.5
Italy,79434,8.5
Bulgaria,2029,7.8
Lithuania,1852,7.7
Latvia,839,7.4
Czech Rep.,8630,6.6
Greece,5284,6.3
Estonia,617,6.2
Slovakia,2678,6.2
Poland,16479,5.3
Croatia,1781,4.0
EU27,881563,15.0
EU27+UK+NO,1090839,15.4
