Region,Share EV,Group,Coordinates,Label
Austria,24.3,,47.5708 14.1184,Austria
Belgium,36.1,,50.6223 4.6609,Belgium
Bulgaria,7.8,,42.7333 23.8401,Bulgaria
Croatia,4.0,,45.6469 16.1827,Croatia
Cyprus,12.6,,34.8725 33.1308,Cyprus
Czech Rep.,6.6,,49.7947 15.4568,Czech Rep.
Denmark,79.9,,56.2711 9.5291,Denmark
Estonia,6.2,,58.5928 26.6394,Estonia
Finland,47.8,,63.0173 27.6766,Finland
France,13.1,,46.612 2.4561,France
Germany,10.8,,51.0845 9.6659,Germany
Greece,6.3,,39.7184 21.9964,Greece
Hungary,10.0,,47.1523 19.4858,Hungary
Ireland,23.7,,53.1835 -8.1385,Ireland
Italy,8.5,,45.3677 10.6102,Italy
Latvia,7.4,,56.8507 26.8743,Latvia
Lithuania,7.7,,55.1544 23.9227,Lithuania
Luxembourg,29.2,,49.7618 6.0937,Luxembourg
Netherlands,36.5,,52.0921 5.3208,Netherlands
Norway,97.6,,60.5364 7.4494,Norway
Poland,5.3,,52.1263 19.3975,Poland
Portugal,25.3,,39.8789 -8.2631,Portugal
Romania,8.5,,45.8589 24.9631,Romania
Slovakia,6.2,,48.703 19.4875,Slovakia
Slovenia,16.5,,46.1442 14.9403,Slovenia
Spain,9.8,,40.3848 -3.5658,Spain
Sweden,41.5,,65.5814 18.0438,Sweden
United Kingdom,12.1,,53.4624 -1.7321,United Kingdom
